"seqnames"	"start"	"end"	"width"	"strand"	"V4"	"V5"	"annotation"	"geneChr"	"geneStart"	"geneEnd"	"geneLength"	"geneStrand"	"ENSEMBL"	"transcriptId"	"distanceToTSS"	"ENTREZID"	"SYMBOL"	"GENENAME"	"gene_name"	"fold_enrichment"	"-log10(pvalue)"	"-log10(qvalue)"
"chr1"	1890157	1891693	1537	"*"	"pool_peak_54"	90	"Promoter (<=1kb)"	1	1785285	1891117	105833	2	"ENSG00000078369"	"ENST00000610897.4"	0	"2782"	"GNB1"	"G protein subunit beta 1"	"GNB1"	6.36607	12.024	9.09142
"chr1"	1908681	1909402	722	"*"	"pool_peak_56"	215	"Distal Intergenic"	1	1915108	1917294	2187	1	"ENSG00000169885"	"ENST00000378604.3"	-5706	"163688"	"CALML6"	"calmodulin like 6"	"CALML6"	9.49849	24.7611	21.5396
"chr1"	1918743	1919562	820	"*"	"pool_peak_57"	255	"Promoter (<=1kb)"	1	1917590	1918797	1208	2	"ENSG00000178821"	"ENST00000378602.3"	0	"339456"	"TMEM52"	"transmembrane protein 52"	"TMEM52"	8.71729	28.8113	25.5732
"chr1"	2044648	2045118	471	"*"	"pool_peak_63"	106	"Distal Intergenic"	1	2049203	2049651	449	2	"ENSG00000226969"	"ENST00000445600.1"	4533	"105378591"	"LOC105378591"	"uncharacterized LOC105378591"	"AL391845.1"	7.8964	13.5811	10.6181
"chr1"	2049954	2050584	631	"*"	"pool_peak_64"	119	"Promoter (<=1kb)"	1	2050411	2185395	134985	1	"ENSG00000067606"	"ENST00000378567.8"	0	"5590"	"PRKCZ"	"protein kinase C zeta"	"PRKCZ"	7.16146	14.9521	11.9475
"chr1"	2194364	2195095	732	"*"	"pool_peak_67"	97	"Promoter (<=1kb)"	1	2184461	2194775	10315	2	"ENSG00000162585"	"ENST00000400919.7"	0	"199990"	"FAAP20"	"FA core complex associated protein 20"	"FAAP20"	6.50113	12.6667	9.7578
"chr1"	2204631	2205833	1203	"*"	"pool_peak_68"	228	"Promoter (<=1kb)"	1	2198063	2203882	5820	2	"ENSG00000162585"	"ENST00000514625.1"	-749	"199990"	"FAAP20"	"FA core complex associated protein 20"	"FAAP20"	6.6338	26.1341	22.8942
"chr1"	2314445	2315488	1044	"*"	"pool_peak_72"	89	"Promoter (<=1kb)"	1	2315040	2321323	6284	1	"ENSG00000287356"	"ENST00000659232.1"	0	NA	NA	NA	"AL590822.3"	6.07618	11.8602	8.93919
"chr1"	2348401	2348914	514	"*"	"pool_peak_74"	90	"Promoter (2-3kb)"	1	2351644	2351857	214	2	"ENSG00000269896"	"ENST00000417061.2"	2943	"100129534"	"LOC100129534"	"small nuclear ribonucleoprotein polypeptide N pseudogene"	"AL513477.1"	7.41738	11.9947	9.07197
"chr1"	2391179	2392338	1160	"*"	"pool_peak_76"	81	"Promoter (<=1kb)"	1	2321253	2391554	70302	2	"ENSG00000116151"	"ENST00000378531.8"	0	"79906"	"MORN1"	"MORN repeat containing 1"	"MORN1"	5.75782	11.045	8.17959
"chr1"	2412232	2413060	829	"*"	"pool_peak_77"	391	"Promoter (<=1kb)"	1	2403964	2412564	8601	2	"ENSG00000157911"	"ENST00000288774.8"	0	"5192"	"PEX10"	"peroxisomal biogenesis factor 10"	"PEX10"	9.05212	42.6819	39.128
"chr1"	2546262	2546777	516	"*"	"pool_peak_83"	163	"Promoter (<=1kb)"	1	2546400	2547460	1061	1	"ENSG00000272449"	"ENST00000606645.2"	0	NA	NA	NA	"AL139246.5"	8.85344	19.4561	16.3621
"chr1"	2586133	2587290	1158	"*"	"pool_peak_84"	207	"Promoter (<=1kb)"	1	2586491	2589632	3142	1	"ENSG00000157870"	"ENST00000493183.5"	0	"127281"	"PRXL2B"	"peroxiredoxin like 2B"	"PRXL2B"	6.71566	24.0298	20.7995
"chr1"	3530977	3531953	977	"*"	"pool_peak_97"	283	"Promoter (<=1kb)"	1	3489920	3531448	41529	2	"ENSG00000162591"	"ENST00000294599.8"	0	"1953"	"MEGF6"	"multiple EGF like domains 6"	"MEGF6"	7.42565	31.6869	28.3711
"chr1"	3611208	3611764	557	"*"	"pool_peak_100"	129	"Promoter (<=1kb)"	1	3487951	3611508	123558	2	"ENSG00000162591"	"ENST00000356575.9"	0	"1953"	"MEGF6"	"multiple EGF like domains 6"	"MEGF6"	7.71973	15.9635	12.9744
"chr1"	3624845	3625514	670	"*"	"pool_peak_101"	202	"Promoter (<=1kb)"	1	3625015	3630127	5113	1	"ENSG00000158109"	"ENST00000378344.7"	0	"127262"	"TPRG1L"	"tumor protein p63 regulated 1 like"	"TPRG1L"	8.99839	23.4541	20.2624
"chr1"	3746919	3747423	505	"*"	"pool_peak_104"	92	"Promoter (<=1kb)"	1	3735650	3746942	11293	2	"ENSG00000227372"	"ENST00000648432.1"	0	"57212"	"TP73-AS1"	"TP73 antisense RNA 1"	"TP73-AS1"	7.4102	12.1621	9.23185
"chr1"	3772315	3773071	757	"*"	"pool_peak_105"	376	"Promoter (<=1kb)"	1	3772655	3775956	3302	1	"ENSG00000235169"	"ENST00000642557.3"	0	"388588"	"SMIM1"	"small integral membrane protein 1 (Vel blood group)"	"SMIM1"	9.58696	41.1185	37.6948
"chr1"	3795978	3796545	568	"*"	"pool_peak_106"	213	"Promoter (<=1kb)"	1	3778559	3796498	17940	2	"ENSG00000130764"	"ENST00000378251.3"	0	"57470"	"LRRC47"	"leucine rich repeat containing 47"	"LRRC47"	10.8681	24.5299	21.311
"chr1"	5991620	5992993	1374	"*"	"pool_peak_113"	80	"Promoter (<=1kb)"	1	5992262	6101193	108932	1	"ENSG00000069424"	"ENST00000378097.6"	0	"8514"	"KCNAB2"	"potassium voltage-gated channel subfamily A regulatory beta subunit 2"	"KCNAB2"	5.45154	10.9634	8.09508
"chr1"	6393192	6393882	691	"*"	"pool_peak_125"	459	"Promoter (<=1kb)"	1	6264269	6393361	129093	2	"ENSG00000097021"	"ENST00000608083.5"	0	"11332"	"ACOT7"	"acyl-CoA thioesterase 7"	"ACOT7"	10.778	49.4637	45.9184
"chr1"	6554120	6554642	523	"*"	"pool_peak_134"	169	"Promoter (<=1kb)"	1	6521347	6554513	33167	2	"ENSG00000162408"	"ENST00000377705.6"	0	"79707"	"NOL9"	"nucleolar protein 9"	"NOL9"	9.55801	20.0672	16.9529
"chr1"	6601927	6603384	1458	"*"	"pool_peak_136"	256	"Promoter (<=1kb)"	1	6590724	6602869	12146	2	"ENSG00000162413"	"ENST00000377658.8"	0	"9903"	"KLHL21"	"kelch like family member 21"	"KLHL21"	6.30222	28.895	25.6464
"chr1"	6613014	6614086	1073	"*"	"pool_peak_137"	436	"Promoter (<=1kb)"	1	6613731	6624030	10300	1	"ENSG00000116273"	"ENST00000377648.5"	0	"148479"	"PHF13"	"PHD finger protein 13"	"PHF13"	7.59891	47.1748	43.6889
"chr1"	6625139	6625789	651	"*"	"pool_peak_138"	93	"Promoter (<=1kb)"	1	6625171	6628519	3349	1	"ENSG00000041988"	"ENST00000484676.1"	0	"90326"	"THAP3"	"THAP domain containing 3"	"THAP3"	6.90723	12.2703	9.35358
"chr1"	6701401	6702173	773	"*"	"pool_peak_139"	215	"Promoter (<=1kb)"	1	6634170	6701816	67647	2	"ENSG00000007923"	"ENST00000377577.10"	0	"55735"	"DNAJC11"	"DnaJ heat shock protein family (Hsp40) member C11"	"DNAJC11"	8.76137	24.7822	21.5489
"chr1"	6784584	6786187	1604	"*"	"pool_peak_142"	271	"Promoter (<=1kb)"	1	6785454	6872053	86600	1	"ENSG00000171735"	"ENST00000490738.5"	0	"23261"	"CAMTA1"	"calmodulin binding transcription activator 1"	"CAMTA1"	6.97202	30.3723	27.1538
"chr1"	7680147	7681062	916	"*"	"pool_peak_148"	103	"Intron (ENST00000303635.12/ENSG00000171735.19, intron 11 of 22)"	1	7693124	7694844	1721	2	"ENSG00000270171"	"ENST00000602640.1"	13782	NA	NA	NA	"AL359881.3"	6.60759	13.2491	10.3073
"chr1"	7771196	7771800	605	"*"	"pool_peak_150"	273	"Promoter (<=1kb)"	1	7771296	7781432	10137	1	"ENSG00000049245"	"ENST00000054666.11"	0	"9341"	"VAMP3"	"vesicle associated membrane protein 3"	"VAMP3"	11.5952	30.6221	27.3043
"chr1"	7783699	7784726	1028	"*"	"pool_peak_151"	287	"Promoter (<=1kb)"	1	7784320	7803958	19639	1	"ENSG00000049246"	"ENST00000377541.5"	0	"8863"	"PER3"	"period circadian regulator 3"	"PER3"	7.21275	31.9999	28.7758
"chr1"	7961507	7962138	632	"*"	"pool_peak_152"	418	"Promoter (<=1kb)"	1	7961663	7971048	9386	1	"ENSG00000116288"	"ENST00000460192.5"	0	"11315"	"PARK7"	"Parkinsonism associated deglycase"	"PARK7"	12.1293	45.3099	41.8072
"chr1"	8025734	8026448	715	"*"	"pool_peak_153"	150	"Promoter (<=1kb)"	1	8004404	8026283	21880	2	"ENSG00000116285"	"ENST00000474874.5"	0	"54206"	"ERRFI1"	"ERBB receptor feedback inhibitor 1"	"ERRFI1"	8.30274	18.1299	15.0288
"chr1"	8317715	8318238	524	"*"	"pool_peak_156"	81	"Promoter (<=1kb)"	1	8317826	8344165	26340	1	"ENSG00000162426"	"ENST00000471889.6"	0	"50651"	"SLC45A1"	"solute carrier family 45 member 1"	"SLC45A1"	6.91402	11.0258	8.13194
"chr1"	8703125	8703735	611	"*"	"pool_peak_159"	246	"Promoter (<=1kb)"	1	8656193	8703219	47027	2	"ENSG00000142599"	"ENST00000468247.1"	0	"473"	"RERE"	"arginine-glutamic acid dipeptide repeats"	"RERE"	9.57917	27.9097	24.6848
"chr1"	8817032	8818273	1242	"*"	"pool_peak_160"	122	"Promoter (<=1kb)"	1	8352397	8817465	465069	2	"ENSG00000142599"	"ENST00000337907.7"	0	"473"	"RERE"	"arginine-glutamic acid dipeptide repeats"	"RERE"	5.92596	15.1977	12.2484
"chr1"	8878238	8879507	1270	"*"	"pool_peak_161"	216	"Promoter (<=1kb)"	1	8861000	8878686	17687	2	"ENSG00000074800"	"ENST00000234590.10"	0	"2023"	"ENO1"	"enolase 1"	"ENO1"	7.17887	24.7917	21.6415
"chr1"	9128765	9129663	899	"*"	"pool_peak_165"	317	"Promoter (<=1kb)"	1	9100305	9129102	28798	2	"ENSG00000180758"	"ENST00000377411.5"	0	"80045"	"GPR157"	"G protein-coupled receptor 157"	"GPR157"	7.71689	35.1717	31.7703
"chr1"	9234536	9235068	533	"*"	"pool_peak_167"	90	"Promoter (<=1kb)"	1	9234774	9271337	36564	1	"ENSG00000049239"	"ENST00000377403.7"	0	"9563"	"H6PD"	"hexose-6-phosphate dehydrogenase/glucose 1-dehydrogenase"	"H6PD"	6.96294	11.9716	9.07718
"chr1"	9539180	9539977	798	"*"	"pool_peak_174"	118	"Promoter (<=1kb)"	1	9539465	9585173	45709	1	"ENSG00000171612"	"ENST00000302692.7"	0	"84275"	"SLC25A33"	"solute carrier family 25 member 33"	"SLC25A33"	7.27382	14.772	11.8061
"chr1"	9689106	9689945	840	"*"	"pool_peak_178"	118	"Promoter (<=1kb)"	1	9688176	9691946	3771	1	"ENSG00000171608"	"ENST00000484851.1"	930	"5293"	"PIK3CD"	"phosphatidylinositol-4,5-bisphosphate 3-kinase catalytic subunit delta"	"PIK3CD"	6.84614	14.8032	11.8197
"chr1"	9823699	9824146	448	"*"	"pool_peak_179"	150	"Promoter (<=1kb)"	1	9728926	9823965	95040	2	"ENSG00000171603"	"ENST00000377298.9"	0	"22883"	"CLSTN1"	"calsyntenin 1"	"CLSTN1"	7.68606	18.195	15.0832
"chr1"	9909891	9910730	840	"*"	"pool_peak_181"	103	"Promoter (<=1kb)"	1	9848276	9910269	61994	2	"ENSG00000178585"	"ENST00000377263.6"	0	"56998"	"CTNNBIP1"	"catenin beta interacting protein 1"	"CTNNBIP1"	5.99972	13.1579	10.3236
"chr1"	10032542	10033089	548	"*"	"pool_peak_184"	390	"Promoter (<=1kb)"	1	10032832	10180367	147536	1	"ENSG00000130939"	"ENST00000253251.12"	0	"10277"	"UBE4B"	"ubiquitination factor E4B"	"UBE4B"	12.3417	42.5365	39.019
"chr1"	10210406	10211149	744	"*"	"pool_peak_186"	119	"Promoter (<=1kb)"	1	10210570	10381603	171034	1	"ENSG00000054523"	"ENST00000676179.1"	0	"23095"	"KIF1B"	"kinesin family member 1B"	"KIF1B"	7.08214	14.8671	11.9513
"chr1"	10398995	10399793	799	"*"	"pool_peak_187"	213	"Promoter (<=1kb)"	1	10399044	10400008	965	1	"ENSG00000142657"	"ENST00000487775.1"	0	"5226"	"PGD"	"phosphogluconate dehydrogenase"	"PGD"	8.82134	24.5313	21.3751
"chr1"	10866876	10867530	655	"*"	"pool_peak_192"	116	"Distal Intergenic"	1	10895761	10895998	238	1	"ENSG00000225158"	"ENST00000450782.2"	-28231	NA	NA	NA	"HSPE1P24"	7.43008	14.6062	11.6183
"chr1"	11060041	11060509	469	"*"	"pool_peak_195"	417	"Promoter (<=1kb)"	1	11056011	11060020	4010	2	"ENSG00000116649"	"ENST00000459997.1"	-21	"6723"	"SRM"	"spermidine synthase"	"SRM"	12.396	45.3816	41.7948
"chr1"	11272879	11273432	554	"*"	"pool_peak_198"	82	"Promoter (<=1kb)"	1	11273198	11288434	15237	1	"ENSG00000120942"	"ENST00000376810.6"	0	"29914"	"UBIAD1"	"UbiA prenyltransferase domain containing 1"	"UBIAD1"	7.09057	11.1746	8.27717
"chr1"	11478757	11480041	1285	"*"	"pool_peak_199"	120	"Promoter (<=1kb)"	1	11479155	11537551	58397	1	"ENSG00000204624"	"ENST00000294484.7"	0	"57540"	"DISP3"	"dispatched RND transporter family member 3"	"DISP3"	7.18245	14.9527	12.0083
"chr1"	11654207	11655324	1118	"*"	"pool_peak_201"	94	"Promoter (<=1kb)"	1	11648387	11654429	6043	2	"ENSG00000116661"	"ENST00000354287.5"	0	"26232"	"FBXO2"	"F-box protein 2"	"FBXO2"	5.41322	12.3212	9.41265
"chr1"	11664165	11664680	516	"*"	"pool_peak_202"	89	"Promoter (<=1kb)"	1	11664200	11674354	10155	1	"ENSG00000116663"	"ENST00000376753.9"	0	"26270"	"FBXO6"	"F-box protein 6"	"FBXO6"	7.12504	11.8333	8.93038
"chr1"	11680933	11681528	596	"*"	"pool_peak_203"	236	"Promoter (<=1kb)"	1	11674480	11681148	6669	2	"ENSG00000116670"	"ENST00000376692.9"	0	"10459"	"MAD2L2"	"mitotic arrest deficient 2 like 2"	"MAD2L2"	10.5713	26.8842	23.6263
"chr1"	11909450	11909873	424	"*"	"pool_peak_206"	109	"Promoter (<=1kb)"	1	11909808	11909927	120	2	"ENSG00000201801"	"ENST00000364931.1"	54	NA	NA	NA	"RNU5E-4P"	8.33153	13.9229	10.955
"chr1"	11934443	11934994	552	"*"	"pool_peak_207"	160	"Promoter (<=1kb)"	1	11934694	11952691	17998	1	"ENSG00000083444"	"ENST00000449038.5"	0	"5351"	"PLOD1"	"procollagen-lysine,2-oxoglutarate 5-dioxygenase 1"	"PLOD1"	9.57233	19.1515	16.0568
"chr1"	12166863	12167387	525	"*"	"pool_peak_213"	196	"Promoter (<=1kb)"	1	12166991	12209220	42230	1	"ENSG00000028137"	"ENST00000376259.7"	0	"7133"	"TNFRSF1B"	"TNF receptor superfamily member 1B"	"TNFRSF1B"	9.74316	22.8772	19.6937
"chr1"	12229904	12230431	528	"*"	"pool_peak_215"	281	"Promoter (<=1kb)"	1	12230030	12512047	282018	1	"ENSG00000048707"	"ENST00000620676.6"	0	"55187"	"VPS13D"	"vacuolar protein sorting 13 homolog D"	"VPS13D"	10.8639	31.5121	28.1932
"chr1"	15153502	15154222	721	"*"	"pool_peak_226"	281	"Promoter (<=1kb)"	1	15153733	15220408	66676	1	"ENSG00000171729"	"ENST00000400796.7"	0	"55092"	"TMEM51"	"transmembrane protein 51"	"TMEM51"	10.1085	31.4258	28.1072
"chr1"	15247057	15247613	557	"*"	"pool_peak_227"	232	"Promoter (<=1kb)"	1	15247272	15398126	150855	1	"ENSG00000142621"	"ENST00000358897.8"	0	"114827"	"FHAD1"	"forkhead associated phosphopeptide binding domain 1"	"FHAD1"	10.6808	26.4817	23.2711
"chr1"	15409455	15410332	878	"*"	"pool_peak_230"	211	"Promoter (<=1kb)"	1	15409888	15430339	20452	1	"ENSG00000142634"	"ENST00000375980.9"	0	"79180"	"EFHD2"	"EF-hand domain family member D2"	"EFHD2"	7.91559	24.3259	21.1091
"chr1"	15523995	15524546	552	"*"	"pool_peak_231"	105	"Promoter (<=1kb)"	1	15490832	15524445	33614	2	"ENSG00000132906"	"ENST00000546424.5"	0	"842"	"CASP9"	"caspase 9"	"CASP9"	6.81071	13.5195	10.548
"chr1"	15584602	15585174	573	"*"	"pool_peak_232"	229	"Promoter (<=1kb)"	1	15571699	15585051	13353	2	"ENSG00000116771"	"ENST00000375826.4"	0	"79814"	"AGMAT"	"agmatinase"	"AGMAT"	10.6512	26.1791	22.9478
"chr1"	15617165	15617878	714	"*"	"pool_peak_233"	639	"Promoter (<=1kb)"	1	15617458	15669044	51587	1	"ENSG00000197312"	"ENST00000480945.6"	0	"84301"	"DDI2"	"DNA damage inducible 1 homolog 2"	"DDI2"	10.7092	67.7502	63.9005
"chr1"	15834635	15835181	547	"*"	"pool_peak_237"	124	"Promoter (<=1kb)"	1	15836095	15928557	92463	1	"ENSG00000065526"	"ENST00000673875.1"	-914	"23013"	"SPEN"	"spen family transcriptional repressor"	"SPEN"	7.32427	15.4561	12.462
"chr1"	15847336	15848544	1209	"*"	"pool_peak_238"	152	"Promoter (<=1kb)"	1	15847707	15940456	92750	1	"ENSG00000065526"	"ENST00000375759.8"	0	"23013"	"SPEN"	"spen family transcriptional repressor"	"SPEN"	5.9637	18.2306	15.2036
"chr1"	15975440	15976094	655	"*"	"pool_peak_240"	155	"Promoter (<=1kb)"	1	15941871	15976079	34209	2	"ENSG00000116809"	"ENST00000537142.5"	0	"7709"	"ZBTB17"	"zinc finger and BTB domain containing 17"	"ZBTB17"	9.25615	18.6878	15.5961
"chr1"	16073129	16073807	679	"*"	"pool_peak_242"	197	"Promoter (<=1kb)"	1	16057769	16073651	15883	2	"ENSG00000185519"	"ENST00000375662.5"	0	"348487"	"FAM131C"	"family with sequence similarity 131 member C"	"FAM131C"	8.79445	22.8658	19.7847
"chr1"	16155672	16156185	514	"*"	"pool_peak_243"	160	"Promoter (<=1kb)"	1	16124337	16156069	31733	2	"ENSG00000142627"	"ENST00000358432.8"	0	"1969"	"EPHA2"	"EPH receptor A2"	"EPHA2"	9.40416	19.0969	16.002
"chr1"	16206622	16207329	708	"*"	"pool_peak_246"	433	"Promoter (<=1kb)"	1	16197854	16207011	9158	2	"ENSG00000142632"	"ENST00000478117.5"	0	"128272"	"ARHGEF19"	"Rho guanine nucleotide exchange factor 19"	"ARHGEF19"	11.1696	46.9159	43.3588
"chr1"	16236812	16237316	505	"*"	"pool_peak_248"	105	"Promoter (<=1kb)"	1	16231692	16237183	5492	2	"ENSG00000132881"	"ENST00000375599.8"	0	"79363"	"CPLANE2"	"ciliogenesis and planar polarity effector 2"	"CPLANE2"	8.09985	13.4832	10.5109
"chr1"	16352141	16352761	621	"*"	"pool_peak_249"	185	"Promoter (<=1kb)"	1	16246840	16352480	105641	2	"ENSG00000037637"	"ENST00000375592.8"	0	"54455"	"FBXO42"	"F-box protein 42"	"FBXO42"	9.55936	21.715	18.5926
"chr1"	16498904	16499736	833	"*"	"pool_peak_250"	88	"Promoter (<=1kb)"	1	16490634	16499257	8624	2	"ENSG00000080947"	"ENST00000590118.5"	0	"114819"	"CROCCP3"	"CROCC pseudogene 3"	"CROCCP3"	6.56764	11.7625	8.86308
"chr1"	16913629	16914213	585	"*"	"pool_peak_253"	98	"Intron (ENST00000466256.6/ENSG00000058453.17, intron 1 of 8)"	1	16921931	16972964	51034	1	"ENSG00000058453"	"ENST00000375541.10"	-7718	"9696"	"CROCC"	"ciliary rootlet coiled-coil, rootletin"	"CROCC"	7.45022	12.791	9.84262
"chr1"	16980304	16980757	454	"*"	"pool_peak_256"	90	"Promoter (<=1kb)"	1	16974502	16980620	6119	2	"ENSG00000117122"	"ENST00000375535.4"	0	"4237"	"MFAP2"	"microfibril associated protein 2"	"MFAP2"	7.47545	11.9962	9.08172
"chr1"	18902134	18902743	610	"*"	"pool_peak_274"	281	"Promoter (<=1kb)"	1	18871430	18902553	31124	2	"ENSG00000159423"	"ENST00000290597.9"	0	"8659"	"ALDH4A1"	"aldehyde dehydrogenase 4 family member A1"	"ALDH4A1"	10.9472	31.4655	28.1576
"chr1"	18955793	18956900	1108	"*"	"pool_peak_276"	109	"Promoter (<=1kb)"	1	18904280	18956676	52397	2	"ENSG00000169991"	"ENST00000455833.7"	0	"126917"	"IFFO2"	"intermediate filament family orphan 2"	"IFFO2"	6.8896	13.9387	10.9751
"chr1"	19209889	19210483	595	"*"	"pool_peak_280"	171	"Promoter (<=1kb)"	1	19074510	19210266	135757	2	"ENSG00000127481"	"ENST00000375254.8"	0	"23352"	"UBR4"	"ubiquitin protein ligase E3 component n-recognin 4"	"UBR4"	9.62905	20.2226	17.1338
"chr1"	19311777	19312582	806	"*"	"pool_peak_283"	320	"Promoter (<=1kb)"	1	19312326	19329300	16975	1	"ENSG00000040487"	"ENST00000375153.8"	0	"54896"	"SLC66A1"	"solute carrier family 66 member 1"	"SLC66A1"	9.15168	35.4393	32.0419
"chr1"	19485180	19486099	920	"*"	"pool_peak_285"	173	"Promoter (<=1kb)"	1	19338775	19485539	146765	2	"ENSG00000077549"	"ENST00000264202.8"	0	"832"	"CAPZB"	"capping actin protein of muscle Z-line subunit beta"	"CAPZB"	6.90372	20.5377	17.3972
"chr1"	19882293	19882998	706	"*"	"pool_peak_292"	144	"Promoter (<=1kb)"	1	19882395	19912945	30551	1	"ENSG00000169914"	"ENST00000375120.4"	0	"23252"	"OTUD3"	"OTU deubiquitinase 3"	"OTUD3"	8.59035	17.5434	14.4791
"chr1"	20633442	20633980	539	"*"	"pool_peak_298"	119	"Promoter (<=1kb)"	1	20633458	20651511	18054	1	"ENSG00000158828"	"ENST00000321556.5"	0	"65018"	"PINK1"	"PTEN induced kinase 1"	"PINK1"	7.70753	14.9322	11.9102
"chr1"	20731626	20732317	692	"*"	"pool_peak_301"	164	"Promoter (<=1kb)"	1	20724601	20732278	7678	2	"ENSG00000189410"	"ENST00000447746.6"	0	"400745"	"SH2D5"	"SH2 domain containing 5"	"SH2D5"	7.69671	19.5432	16.4822
"chr1"	20786355	20787373	1019	"*"	"pool_peak_302"	350	"Promoter (<=1kb)"	1	20740266	20787307	47042	2	"ENSG00000127483"	"ENST00000438032.6"	0	"50809"	"HP1BP3"	"heterochromatin protein 1 binding protein 3"	"HP1BP3"	8.05777	38.476	35.0226
"chr1"	21344978	21345859	882	"*"	"pool_peak_308"	130	"Promoter (<=1kb)"	1	21217247	21345504	128258	2	"ENSG00000117298"	"ENST00000415912.6"	0	"1889"	"ECE1"	"endothelin converting enzyme 1"	"ECE1"	7.31268	16.0863	13.0698
